
input per-read per-base error rate? 
per-read per-base error rate e = 0.01
 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 2  0    -0.020   -1.386   -9.210   1.37  00   0.00010  0.25000
 2  1    -4.615   -1.386   -4.615   3.23  01   0.01980  0.50000
 2  2    -9.210   -1.386   -0.020   1.37  11   0.98010  0.25000

n =  2  GTcallerror (for GT 11, 01) =   0.019900   0.500000

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 3  0    -0.030   -2.079  -13.816   2.05  00   0.00000  0.12500
 3  1    -4.625   -2.079   -9.220   2.55  01   0.00030  0.37500
 3  2    -9.220   -2.079   -4.625   2.55  01   0.02940  0.37500
 3  3   -13.816   -2.079   -0.030   2.05  11   0.97030  0.12500

n =  3  GTcallerror (for GT 11, 01) =   0.029701   0.250000

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 4  0    -0.040   -2.773  -18.421   2.73  00   0.00000  0.06250
 4  1    -4.635   -2.773  -13.826   1.86  01   0.00000  0.25000
 4  2    -9.230   -2.773   -9.230   6.46  01   0.00059  0.37500
 4  3   -13.826   -2.773   -4.635   1.86  01   0.03881  0.25000
 4  4   -18.421   -2.773   -0.040   2.73  11   0.96060  0.06250

n =  4  GTcallerror (for GT 11, 01) =   0.039404   0.125000

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 5  0    -0.050   -3.466  -23.026   3.42  00   0.00000  0.03125
 5  1    -4.645   -3.466  -18.431   1.18  01   0.00000  0.15625
 5  2    -9.240   -3.466  -13.836   5.77  01   0.00001  0.31250
 5  3   -13.836   -3.466   -9.240   5.77  01   0.00097  0.31250
 5  4   -18.431   -3.466   -4.645   1.18  01   0.04803  0.15625
 5  5   -23.026   -3.466   -0.050   3.42  11   0.95099  0.03125

n =  5  GTcallerror (for GT 11, 01) =   0.049010   0.062500

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 6  0    -0.060   -4.159  -27.631   4.10  00   0.00000  0.01563
 6  1    -4.655   -4.159  -23.036   0.50  01   0.00000  0.09375
 6  2    -9.251   -4.159  -18.441   5.09  01   0.00000  0.23438
 6  3   -13.846   -4.159  -13.846   9.69  01   0.00002  0.31250
 6  4   -18.441   -4.159   -9.251   5.09  01   0.00144  0.23438
 6  5   -23.036   -4.159   -4.655   0.50  01   0.05706  0.09375
 6  6   -27.631   -4.159   -0.060   4.10  11   0.94148  0.01563

n =  6  GTcallerror (for GT 11, 01) =   0.058520   0.031250

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 7  0    -0.070   -4.852  -32.236   4.78  00   0.00000  0.00781
 7  1    -4.665   -4.852  -27.641   0.19  00   0.00000  0.05469
 7  2    -9.261   -4.852  -23.046   4.41  01   0.00000  0.16406
 7  3   -13.856   -4.852  -18.451   9.00  01   0.00000  0.27344
 7  4   -18.451   -4.852  -13.856   9.00  01   0.00003  0.27344
 7  5   -23.046   -4.852   -9.261   4.41  01   0.00200  0.16406
 7  6   -27.641   -4.852   -4.665   0.19  11   0.06590  0.05469
 7  7   -32.236   -4.852   -0.070   4.78  11   0.93207  0.00781

n =  7  GTcallerror (for GT 11, 01) =   0.002031   0.125000

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 8  0    -0.080   -5.545  -36.841   5.46  00   0.00000  0.00391
 8  1    -4.676   -5.545  -32.246   0.87  00   0.00000  0.03125
 8  2    -9.271   -5.545  -27.651   3.73  01   0.00000  0.10938
 8  3   -13.866   -5.545  -23.056   8.32  01   0.00000  0.21875
 8  4   -18.461   -5.545  -18.461  12.92  01   0.00000  0.27344
 8  5   -23.056   -5.545  -13.866   8.32  01   0.00005  0.21875
 8  6   -27.651   -5.545   -9.271   3.73  01   0.00264  0.10938
 8  7   -32.246   -5.545   -4.676   0.87  11   0.07457  0.03125
 8  8   -36.841   -5.545   -0.080   5.46  11   0.92274  0.00391

n =  8  GTcallerror (for GT 11, 01) =   0.002690   0.070313

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 9  0    -0.090   -6.238  -41.447   6.15  00   0.00000  0.00195
 9  1    -4.686   -6.238  -36.851   1.55  00   0.00000  0.01758
 9  2    -9.281   -6.238  -32.256   3.04  01   0.00000  0.07031
 9  3   -13.876   -6.238  -27.661   7.64  01   0.00000  0.16406
 9  4   -18.471   -6.238  -23.066  12.23  01   0.00000  0.24609
 9  5   -23.066   -6.238  -18.471  12.23  01   0.00000  0.24609
 9  6   -27.661   -6.238  -13.876   7.64  01   0.00008  0.16406
 9  7   -32.256   -6.238   -9.281   3.04  01   0.00336  0.07031
 9  8   -36.851   -6.238   -4.686   1.55  11   0.08305  0.01758
 9  9   -41.447   -6.238   -0.090   6.15  11   0.91352  0.00195

n =  9  GTcallerror (for GT 11, 01) =   0.003436   0.039062

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
10  0    -0.101   -6.931  -46.052   6.83  00   0.00000  0.00098
10  1    -4.696   -6.931  -41.457   2.24  00   0.00000  0.00977
10  2    -9.291   -6.931  -36.861   2.36  01   0.00000  0.04395
10  3   -13.886   -6.931  -32.266   6.95  01   0.00000  0.11719
10  4   -18.481   -6.931  -27.671  11.55  01   0.00000  0.20508
10  5   -23.076   -6.931  -23.076  16.14  01   0.00000  0.24609
10  6   -27.671   -6.931  -18.481  11.55  01   0.00000  0.20508
